day,market_cap_BTC,price_BTC,volume_BTC,market_cap_ETH,price_ETH,volume_ETH,market_cap_DOGE,price_DOGE,volume_DOGE,market_cap_XRP,price_XRP,volume_XRP,market_cap_ADA,price_ADA,volume_ADA,market_cap_SOL,price_SOL,volume_SOL,market_cap_TRX,price_TRX,volume_TRX,market_cap_DOT,price_DOT,volume_DOT,market_cap_LTC,price_LTC,volume_LTC,market_cap_AVAX,price_AVAX,volume_AVAX,fear_value,fear_classification
2018-01-01,236440337971.831,14093.6068305274,2345478673.51547,75056629369.4547,776.080330355968,1101627635.65143,1023600846.28914,0.00909118972054732,38572892.3868947,89492073293.9516,2.31012,1697900000.0,19371162465.4129,0.74714042363643,150103426.408784,,,,3396160239.71634,0.0516540472349516,437407541.337463,,,,12577160934.4556,230.46212028623,365432350.35264,,,,,
2018-01-02,257079617264.841,15321.9328517642,4130217904.20997,84822222588.5437,876.890258814416,2720973272.07018,1051232681.59097,0.00933544582449771,67823550.1006094,95115834951.3906,2.45529,3206290000.0,20934301068.7051,0.807430250865508,290148321.463177,,,,5318573557.16831,0.0808930764019199,1484796785.37526,,,,13922438464.794,255.048185035276,812530211.323402,,,,,
2018-01-03,261505188675.85794,15583.8855377593,3310355625.1255913,93178531120.43204,963.0557506903511,2308657205.9772067,1080254156.7712586,0.009591984295530395,51581602.895392105,121087332439.71637,3.12571,6678660000.0,27882000207.037376,1.0754011011838815,672172539.6566188,,,,6450346842.00308,0.09810683152172969,1035141622.348886,,,,13543570836.538822,248.04219364630376,618490219.9941618,,,,,
2018-01-04,268124738814.99704,15976.365194174,4217387187.5256386,94681149308.52457,978.416104183522,2756635496.077742,1137418029.4178195,0.010098320449883494,85836326.06379178,124741983364.58235,3.22005,8104150000.0,30577013247.750748,1.1793470150411156,587865819.6221813,,,,14342242466.251856,0.21813896209702388,3915550001.347465,,,,13372231051.163412,244.83437239359276,845373432.7036284,,,,,
2018-01-05,307774011688.3515,18336.9229801691,6275687595.940333,97269228886.25314,1004.8949722625625,2894788528.9368753,1559192909.81698,0.013841230630273734,157459282.76396623,113559154421.59886,2.93138,6173580000.0,27944745852.34255,1.0778211835149423,507435198.65038526,,,,15232064950.201818,0.23167275596197776,3738421738.2625484,,,,13884034400.702538,254.1385250810076,833526015.8750387,,,,,
2018-01-06,307926110569.5282,18343.6624934071,4240919830.5153003,101852997666.87328,1052.02336010703,1824841952.503006,1787445753.9461367,0.015865492218716883,243794071.66983694,119767102383.33061,3.09163,2833080000.0,28358515684.962,1.093780172480279,311308025.14994603,,,,11787828359.03878,0.17928748936361966,2292851346.6642747,,,,15843489929.327923,289.9300333581779,1487931536.6484613,,,,,
2018-01-07,286074127681.1376,17039.8739138488,3044989246.796485,110167827718.61086,1137.6549188901813,2286423001.2638764,1981540125.2509153,0.01758609267957335,247655386.6106324,131653046805.28716,3.39845,2412330000.0,27297411640.984287,1.0528536805180457,231753940.09091622,,,,13135565795.792473,0.19978596066784834,1648243398.4014401,,,,15248620158.633833,278.97598168335605,667642738.5533547,,,,,
2018-01-08,266976271422.5615,15900.3650216006,5752981089.536744,114769005376.76157,1184.92393027798,4813539670.332469,1765290924.004782,0.015664930020196744,199176617.22635728,94852796157.8795,2.4485,3307200000.0,24420705964.95028,0.9418999315467624,271755252.7481392,,,,10316251808.012896,0.15690548165161397,1406087829.2421513,,,,14419874066.479158,263.7463834051953,1025197261.6113192,,,,,
2018-01-09,262044268423.30463,15604.7234082405,4214092201.8070655,131894965357.881,1361.4396682787146,4248463429.84743,1604465750.075512,0.014236014523322628,86409595.3881428,82950581295.08722,2.14126,3717140000.0,22458068418.789967,0.8662015396561794,214077772.7742139,,,,8724391278.191036,0.13269400951985694,1183955759.8008099,,,,14148497880.675308,258.71996457839646,790812334.8208512,,,,,
2018-01-10,260474112841.84482,15509.2701268168,4969472882.941215,130387621608.28636,1345.5876017375906,5901388488.269492,1510191506.5206811,0.013397872468724748,79260537.29285407,75779186818.30954,1.95614,4840510000.0,21167941691.567257,0.8164417056119962,241226048.655068,,,,8827652659.769632,0.13426456800506337,1544277292.2625835,,,,13882592428.177885,253.7921714393668,809540658.0273788,,,,,
2018-01-11,236008991341.7291,14050.5696063543,5833888113.053883,114526940296.8931,1181.6514100305303,3701485302.9898286,1328397831.6756423,0.01178359332667976,45857579.523321815,74906393930.77771,1.93361,6211300000.0,18860951569.23562,0.7274617292991923,240846066.20804676,,,,7506631022.4656,0.11417243181734481,893878819.6094507,,,,12767423944.488865,233.34334721111807,870129604.1372067,,,,,
2018-01-12,247945818276.33105,14759.294629915,4021952802.5976954,127538307119.98058,1315.6187580839762,2569674473.5809693,1511532589.936457,0.013406427001536618,46994581.28736684,78476593332.23947,2.02577,3325760000.0,24950362576.850266,0.9623286418063227,400879519.0712368,,,,7624434024.301804,0.11596416170985852,579869769.6953688,,,,13473776177.28514,246.19188649019114,584082051.3487905,,,,,
2018-01-13,255265724750.92688,15193.3148979847,3134247725.132476,140419500475.92773,1448.1800861342022,3149029707.9682436,1464247390.1514132,0.012985428673917112,46480141.80482289,78349916335.2475,2.0225,2165090000.0,24317185758.156223,0.9379071855617376,324020183.0705352,,,,7176051483.729059,0.10914446791001396,733968478.983531,,,,14691318137.257816,268.36811528589226,722028981.1896672,,,,,
2018-01-14,243252295974.26068,14476.5889713691,3336056550.553205,136747164703.8492,1410.0002145085193,2771837301.4899707,1360129471.5116286,0.012060585801368595,42926009.25268443,72272132219.62971,1.86561,1990660000.0,21827729140.9422,0.8418895265838228,164758594.71964398,,,,5868585694.693454,0.08925850998755465,619598484.3891735,,,,13569302064.265797,247.8011550075546,752643598.7626941,,,,,
2018-01-15,242193794408.73285,14411.9977069182,3222958351.447812,128980953671.9811,1329.6713965043375,2438212396.6501827,1171146364.7438023,0.010383539628810808,50340005.70450066,64580475414.50566,1.66706,1798380000.0,21322528449.849503,0.8224040744826202,223039389.0742617,,,,5290661151.234503,0.08046854144691835,924955385.9055698,,,,13208591715.759275,241.1518060528049,473284999.4810502,,,,,
2018-01-16,197043955228.79236,11723.9135206658,9677283153.059654,103677753320.31013,1068.6004106894156,5197858118.489889,784569098.6719484,0.006955228955907206,54068722.70546221,46299086530.56665,1.19515,5720560000.0,16547116341.812134,0.6382177391603058,182356185.24944827,,,,3625314077.01625,0.05513937251422896,536117811.546999,,,,10380883694.789461,189.47312838641994,1234195162.0422833,,,,,
2018-01-17,191882616843.4473,11415.3928442768,10225958520.621689,99216267384.45854,1022.3652131699663,5505023202.5208645,876186946.3556465,0.00776645818123865,51006162.64796977,50018431631.85076,1.29116,7145750000.0,16841373613.692904,0.6495671614349702,197027150.9364225,,,,5085104035.913708,0.07734211153937443,1130206042.7519546,,,,10354595856.265894,188.9409013269934,1301544298.6084673,,,,,
2018-01-18,194496634731.3023,11569.4249920858,6558304864.2233305,100567876886.70789,1036.072312788025,3220457431.1306267,908541831.4126767,0.008052592195204092,44728415.08633855,62432389945.63571,1.61161,9205920000.0,17406297666.39785,0.671356127214076,147757610.9196817,,,,5573003138.527293,0.08476283421245935,1172676300.2581897,,,,10676080235.491467,194.75533862933017,816826523.571608,,,,,
2018-01-19,197698672432.58115,11758.4693327652,4208563477.4581575,101640355096.62448,1046.8985973958734,2067139497.7426836,902176682.8901842,0.007995193410812805,20287765.289733157,59719100383.15327,1.54157,3689240000.0,17260984826.57194,0.6657514508348865,106464152.84363754,,,,5422747620.008902,0.08247751635257258,626942121.4568021,,,,10669550044.176855,194.58350142038915,441196407.7736098,,,,,
2018-01-20,222978421656.46298,13260.2711872786,4520485016.427376,113899479853.58607,1172.9172062239459,1927757662.931302,981380065.2087709,0.008696029393049537,18000141.587645564,61287260884.14255,1.58205,2348780000.0,19030494009.787533,0.7340009347332741,109953899.26112777,,,,5823414719.695579,0.08857148007391785,576340854.543749,,,,11759631410.28839,214.4069154795011,406540749.76307255,,,,,
